Posted Date,Letter Issue Date,Company Name,Issuing Office,Subject,Letter Type
09/10/2017,09/05/2017,Dynavision International LLC,New England District Office,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),Warning Letter
09/05/2017,08/23/2017,1ViZN LLC,Division of Human and Animal Food Operations West IV,Unapproved New Drugs/Misbranded,Warning Letter
09/05/2017,03/23/2017,"X12 Co., LTD.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
09/05/2017,03/29/2017,"Hebei Pukang Medical Instruments Co., Ltd.",Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
09/05/2017,04/06/2017,Entellus Medical,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),Warning Letter
09/05/2017,06/21/2017,Steiner Laboratories,Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),Warning Letter
09/05/2017,07/20/2017,HOSPIMED,Center for Devices and Radiological Health,Medical Device/Adulterated/Misbranded/Lacks PMA and/or 510(k),Warning Letter
09/05/2017,07/31/2017,"SyncThink, Inc.",Center for Devices and Radiological Health,Investigational Device Exemptions (IDE)/Premarket Approval Application (PMA),Warning Letter
09/05/2017,07/31/2017,Foggy Gorilla Vaping Company,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
09/05/2017,08/04/2017,MB Industria Cirurgica Ltda,Center for Devices and Radiological Health,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
09/05/2017,08/08/2017,Wilbo S.A.,Center for Food Safety and Applied Nutrition,Low Acid Canned Food Regulation/Adulterated,Warning Letter
09/05/2017,08/10/2017,"C K Solutions, Inc.",Denver District Office,CGMP/Finished Pharmaceuticals/Adulterated/Unapproved New Drug,Warning Letter
09/04/2017,08/20/2017,Carlton's Dunwoody Pharmacy Corp,Dallas District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
09/04/2017,08/21/2017,"F. Rozzo & Sons, Inc.",New York District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
09/04/2017,08/21/2017,Louie Foods International,San Francisco District Office,"CGMP Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",Warning Letter
09/04/2017,08/24/2017,"US Stem Cell Clinic, LLC",Florida District Office,CGMP Deviations/Current Good Tissue Practice (CGTP),Warning Letter
09/04/2017,08/24/2017,"Nautical Foods, LLC",Baltimore District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
09/04/2017,08/30/2017,Jim Paskewitz Livestock,Minneapolis District Office,Illegal Drug Residue,Warning Letter
09/03/2017,08/15/2017,Adrian Mortimer,Dallas District Office,Illegal Drug Residue,Warning Letter
09/03/2017,08/16/2017,E-Juice Plug,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
09/03/2017,08/17/2017,"Distribuidora La Jugosita, Inc.",San Juan District Office,Juice/HACCP/Adulterated,Warning Letter
09/03/2017,08/17/2017,V2 Cigs,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/29/2017,08/15/2017,Hetero Labs Limited Unit V,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
08/29/2017,05/19/2017,"Etai's Food, Inc",Denver District Office,Seafood HACCP/CGMP for Foods/Adulterated/Misbranded,Warning Letter
08/29/2017,08/16/2017,Ecig.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/28/2017,08/16/2017,Sunshine Vape,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/28/2017,08/16/2017,"Klassik Vape, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/28/2017,08/16/2017,Total Nutrition Inc,New York District Office,CGMP/Dietary Supplement/Adulterated/Misbranded,Warning Letter
08/28/2017,08/17/2017,Vape Gods LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/28/2017,08/17/2017,Intense Desire,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/28/2017,08/17/2017,"Vapor Rising, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/22/2017,08/03/2017,ImprimisRx Pharmacy LLC,New Jersey District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
08/22/2017,08/09/2017,"Oregon Wild Berries, Inc.",Seattle District Office,Acidified Foods/Emergency Permit Control/Adulterated/Misbranded,Warning Letter
08/22/2017,08/09/2017,"Pharmacy Plus, Inc. dba Vital Care Compounder",Dallas District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
08/22/2017,08/10/2017,Skin 2 Spirit,Baltimore District Office,New Drug/Labeling/Misbranded,Warning Letter
08/21/2017,08/03/2017,King of Pops,Atlanta District Office,"CGMP Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",Warning Letter
08/21/2017,08/16/2017,Flyin' Weasel E-Juice,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/20/2017,08/11/2017,Bicooya Cosmetics Limited,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
08/16/2017,08/11/2017,Moon Valley Natural Products LLC,Seattle District Office,New Drug/Labeling/Misbranded,Warning Letter
08/15/2017,07/05/2017,"K & B Company, Inc",Denver District Office,"CGMP/Manufacturing, Packing or Holding Human Food/Adulterated/Insanitary Conditions",Warning Letter
08/15/2017,07/06/2017,"APS BioGroup, Inc",Los Angeles District Office,Unapproved New Drugs/Misbranded,Warning Letter
08/15/2017,07/31/2017,Green Leaf,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/15/2017,08/01/2017,"Foshan Flying Medical Products Co., Ltd.",Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
08/15/2017,08/01/2017,"Ballard Plaza Pharmacy I, Inc.",Los Angeles District Office,Compounding Pharmacy/Adulteration/Misbranding,Warning Letter
08/15/2017,08/02/2017,Homeolab USA Inc.,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated/Refused Inspection,Warning Letter
08/15/2017,08/02/2017,"Maplerose Enterprises, LLC, dba Pencol Pharmacy",Los Angeles District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
08/08/2017,07/16/2017,"R & R Holsteins, LLC (Dairy #3)",Seattle District Office,New Animal Drug/Adulterated,Warning Letter
08/08/2017,07/19/2017,Be Natural Organics,Chicago District Office,New Drug/Labeling/Misbranded,Warning Letter
08/08/2017,07/28/2017,"Skin Sciences Laboratory, Inc.",Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Unapproved New Drug/Misbranded,Warning Letter
08/08/2017,07/28/2017,Vapor Alley,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,07/28/2017,EJuice.deals,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,07/28/2017,EzyPayway.com Limited,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,07/28/2017,Royal Smoke LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,07/28/2017,Nuports Inc.,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,07/28/2017,Prodigy Vapor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,07/31/2017,Freshvaping.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,07/31/2017,AspireCig LTD,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,07/31/2017,Vape Goddess LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,07/31/2017,"Safe Way Ecig, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,07/31/2017,Broke Dick Juice,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
08/08/2017,08/02/2017,Cellex-C International Inc.,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
08/08/2017,08/02/2017,Coleman Peanut Company,Baltimore District Office,"CGMP Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",Warning Letter
08/07/2017,08/01/2017,Armada Nutrition,Cincinnati District Office,CGMP/Dietary Supplement/Adulterated,Warning Letter
08/01/2017,05/03/2017,MS Bionic,Los Angeles District Office,Unapproved New Drugs/Misbranded,Warning Letter
08/01/2017,07/12/2017,Sinosharp Import & Export Co Ltd,New York District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
08/01/2017,07/20/2017,W & C dba The Apothecary,Detroit District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
08/01/2017,07/21/2017,"Medical Center Pharmacy, Inc.",Dallas District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
07/31/2017,04/07/2017,Arnold Professional Pharmacy,Baltimore District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
07/31/2017,07/18/2017,Vedame Oils LLC dba UMA Oils,Los Angeles District Office,Unapproved New Drugs/Misbranded,Warning Letter
07/25/2017,06/28/2017,"Pensacola Apothecary, Inc. DBA Everwell Specialty Pharmacy",Dallas District Office,New Drug/Misbranded,Warning Letter
07/25/2017,07/12/2017,Whitehall/Div of Acorn Engineering Co,Los Angeles District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
07/25/2017,07/17/2017,Sage Products Inc,Detroit District Office,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
07/25/2017,07/20/2017,Option Care,New Jersey District Office,Drug Product/Adulterated,Warning Letter
07/24/2017,06/20/2017,Manns Fish Market,Kansas City District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
07/23/2017,07/17/2017,"Algunas Inc., dba Woodland Hills Compounding Pharmacy",Los Angeles District Office,Unapproved New Drug/Compounding/Misbranding/Adulterated,Warning Letter
07/18/2017,06/21/2017,Vapefluid.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
07/18/2017,06/28/2017,Jerald and Janine Stewart Farm,Kansas City District Office,Illegal Drug Residue Animal Tissue/Adulterated,Warning Letter
07/18/2017,06/29/2017,"ChemRite CoPac, Inc.",Detroit District Office,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
07/18/2017,06/30/2017,"Nature's Health Company, LLC",Cincinnati District Office,New Drug/Misbranded,Warning Letter
07/18/2017,07/06/2017,Irie Star LLC,Kansas City District Office,New Drug/Labeling/Misbranded,Warning Letter
07/18/2017,07/06/2017,Tubilux Pharma Spa,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
07/18/2017,07/11/2017,"Black Seed Herb, Inc.",New York District Office,"CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated",Warning Letter
07/18/2017,07/11/2017,National Biological Corp,New England District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
07/17/2017,06/29/2017,"Chilemar, Inc",San Francisco District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
07/11/2017,06/21/2017,http://www.chi-townvapers.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
07/11/2017,07/05/2017,Vista Pharmaceuticals Limited,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,Warning Letter
07/11/2017,07/11/2017,"Kretek International, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
07/10/2017,06/27/2017,"New Capstone, Inc",Los Angeles District Office,New Drug/Misbranded,Warning Letter
07/04/2017,05/08/2017,Harbor Marine Product Inc,Los Angeles District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
07/04/2017,06/20/2017,Flavor Vapors,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
07/04/2017,06/20/2017,http://www.my-ecigshop.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
07/04/2017,06/21/2017,Vapor Stix Inc,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
07/04/2017,06/21/2017,Organic Vapor Labs,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
07/04/2017,06/22/2017,Shandong Analysis and Test Center,Center for Drug Evaluation and Research,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated/Refused Inspection,Warning Letter
07/03/2017,05/23/2017,A. I. Foods Corporation,Los Angeles District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
06/27/2017,06/15/2017,Soapwalla Inc.,Center for Food Safety and Applied Nutrition,New Drug/Labeling,Warning Letter
06/27/2017,04/20/2017,Adolfo Kaplan,Center for Drug Evaluation and Research,Clinical Investigator,Warning Letter
06/27/2017,04/27/2017,"Vapor-riffic, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/27/2017,05/01/2017,"Nature's Vision, Inc",Detroit District Office,CGMP/Dietary Supplement/Adulterated/Misbranded,Warning Letter
06/27/2017,05/08/2017,"Pulido Associates, Inc",Center for Tobacco Products,Acidified Foods/Emergency Permit Control/Adulterated,Warning Letter
06/27/2017,05/12/2017,Dougherty's Pharmacy,Dallas District Office,Compounding Pharmacy/Adulteration/Misbranding,Warning Letter
06/27/2017,05/25/2017,"Empower Clinic Services, LLC",Dallas District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
06/27/2017,06/07/2017,"Pressure Safe, LLC",Seattle District Office,Juice/HACCP/Adulterated,Warning Letter
06/27/2017,06/08/2017,"Xcel Sports Nutrition, LLC",Dallas District Office,CGMP/Dietary Supplement/Adulterated,Warning Letter
06/27/2017,06/14/2017,Lopez Tortilla Foods Inc.,Dallas District Office,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",Warning Letter
06/27/2017,06/19/2017,Goff Seafood,Cincinnati District Office,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",Warning Letter
06/27/2017,06/20/2017,eVapor Shoppe,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/27/2017,06/20/2017,OTR Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/27/2017,06/21/2017,Vapin By The Beach,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/27/2017,06/21/2017,"RTS LEASING, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/20/2017,01/17/2017,"Avicola Santos, Inc.",San Juan District Office,Food/Egg/Prepared Packed or Held Under Insanitary Conditions/Adulterated,Warning Letter
06/20/2017,04/24/2017,"Qinhuangdao Zizhu Pharmaceutical, Co.",Center for Drug Evaluation and Research,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,Warning Letter
06/20/2017,05/25/2017,"Big Dan's Fitness / Nutrition, LLC",Los Angeles District Office,Internet Marketing of Unapproved and Misbranded Drugs,Warning Letter
06/20/2017,05/26/2017,Star Health & Beauty LLC,Atlanta District Office,"CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated",Warning Letter
06/20/2017,06/05/2017,Hardcore Formulations,Dallas District Office,New Drugs/Dietary Supplements/Food Labeling/Misbranded,Warning Letter
06/20/2017,06/05/2017,"Andropharm, LLC",Dallas District Office,New Drugs/Dietary Supplements/Food Labeling/Misbranded,Warning Letter
06/19/2017,05/22/2017,Sewaren Innovative Pharmaceutical Packaging dba SIPP,New Jersey District Office,Drug Product/Adulterated,Warning Letter
06/13/2017,02/14/2017,The See Clear Company,Atlanta District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
06/13/2017,05/31/2017,Summit Nutritionals International,New Jersey District Office,Food Labeling/Misbranded,Warning Letter
06/13/2017,06/01/2017,Beacon Prescriptions,New Jersey District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
06/13/2017,06/02/2017,Perfectly Posh,Denver District Office,New Drug/Labeling/Misbranded,Warning Letter
06/12/2017,04/03/2017,Santos Agency Inc.,San Francisco District Office,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",Warning Letter
06/12/2017,06/01/2017,Eugene Airport,Seattle District Office,Interstate Conveyance Sanitation Regulations,Warning Letter
06/12/2017,06/08/2017,Belmora LLC,Baltimore District Office,Unapproved New Drugs/Misbranded,Warning Letter
06/11/2017,06/05/2017,A-S Medication Solutions LLC.,Center for Drug Evaluation and Research,Failure to Register and List,Warning Letter
06/06/2017,03/28/2017,Ranier's Compounding Laboratory,Philadelphia District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
06/06/2017,04/26/2017,B & I Overseas Trading Inc.,Los Angeles District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
06/06/2017,04/27/2017,Rad Trading,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
06/06/2017,05/25/2017,"Yusef Manufacturing Laboratories, LLC",Los Angeles District Office,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
06/06/2017,05/25/2017,Herbal Doctor Remedies,Los Angeles District Office,Unapproved New Drugs/Misbranded,Warning Letter
06/06/2017,05/25/2017,Life Rising Corporation,Chicago District Office,CGMP/Dietary Supplement/Adulterated/Misbranded,Warning Letter
06/06/2017,05/25/2017,"The Herbalist, Inc.",Seattle District Office,CGMP/Dietary Supplement/Adulterated/Misbranded,Warning Letter
06/05/2017,06/01/2017,Prestige Brands Holdings,Center for Drug Evaluation and Research,Drug Product/Adulterated,Warning Letter
05/30/2017,05/02/2017,Genus Medical Technologies,Kansas City District Office,Unapproved New Drugs/Misbranded,Warning Letter
05/30/2017,05/12/2017,VitaPurity Corporation,Seattle District Office,"Adulterated Dietary Supplements, Unapproved New and Misbranded Drugs",Warning Letter
05/30/2017,05/12/2017,B. Braun Medical Inc,Los Angeles District Office,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
05/30/2017,05/16/2017,"Ocubright Tear Stain Remover, Inc.",Florida District Office,Animal Drugs/Adulterated,Warning Letter
05/30/2017,05/16/2017,"Morhaim Pharmalab, Inc.",Florida District Office,"CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated",Warning Letter
05/30/2017,05/17/2017,"Med-Pharmex, Inc.",Los Angeles District Office,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
05/23/2017,03/07/2017,"Sweet Springs Valley Water Co., Inc.",Baltimore District Office,Processing and Bottling of Bottled Drinking Water Regulation/Insanitary Conditions,Warning Letter
05/23/2017,04/27/2017,Vapor Palace,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/23/2017,04/27/2017,LegendGadget,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/23/2017,04/27/2017,"Hardcore Vapers, B.V",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/23/2017,04/27/2017,http://www.pharmacig.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/23/2017,04/27/2017,Wholesale-Eliquid.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/23/2017,04/27/2017,Big Boss Cigars,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/23/2017,04/27/2017,The Lord of the Cigar Corporation,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/23/2017,04/27/2017,406 Cigars,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/23/2017,04/28/2017,http://www.snuffstore.co.uk,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/23/2017,05/09/2017,"Products Africana, Inc.",New Jersey District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
05/23/2017,05/11/2017,Changzhou Jintan Qianyao Pharmaceutical Raw Materials,Center for Drug Evaluation and Research,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,Warning Letter
05/16/2017,12/09/2016,"Swisher International, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Flavored Cigarette/Adulterated/Misbranded,Warning Letter
05/16/2017,04/04/2017,Granja Cintron,San Juan District Office,PHS Act/Shell Egg Regulation/Adulterated,Warning Letter
05/16/2017,05/01/2017,"Oxford Performance Materials, Inc.",New England District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
05/16/2017,05/01/2017,Thor Inc.,Denver District Office,"CGMP/Manufacturing, Packaging, Labeling, or Holding Operations for Dietary Supplements/Adulterated",Warning Letter
05/16/2017,05/05/2017,"Vidco, Inc.",Seattle District Office,CGMP/QSR/Medical Devices/Adulterated/Misbranded,Warning Letter
05/16/2017,05/05/2017,"Fabrica de Conservas A Poveira, S.A.",Center for Food Safety and Applied Nutrition,Low Acid Canned Food Regulation/Adulterated,Warning Letter
05/16/2017,05/08/2017,Phillips Co.,Dallas District Office,CGMP/Finished Pharmaceuticals/Adulterated/Misbranded,Warning Letter
05/16/2017,05/08/2017,"International Medsurg Connection, Inc.",Chicago District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
05/16/2017,05/08/2017,Elkhart Pharmacy,Dallas District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
05/16/2017,05/10/2017,"Vertical Pharmaceuticals, Inc",New Jersey District Office,Postmarketing Adverse Drug Experience Reporting Requirements,Warning Letter
05/16/2017,05/12/2017,"Merit Pet Products, LLC",New England District Office,Unapproved New Animal Drug/Adultered/Misbranded/Misleading,Warning Letter
05/16/2017,04/28/2017,"Shriver III, Victor L., a.k.a. Chip",Chicago District Office,Illegal Drug Residue,Warning Letter
05/15/2017,05/05/2017,Barnier Production,Center for Food Safety and Applied Nutrition,Low Acid Canned Food Regulation/Adulterated,Warning Letter
05/10/2017,09/01/2016,J Vapes LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/10/2017,09/01/2016,Jojo Vapes,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/09/2017,03/20/2017,"Merrill D. Benson, M.D.",Center for Drug Evaluation and Research,Sponsor/Investigator,Warning Letter
05/09/2017,04/20/2017,"Huron Pharmaceuticals, Inc.",Detroit District Office,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated,Warning Letter
05/09/2017,04/21/2017,"Lonza Walkersville, Inc.",Baltimore District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
05/09/2017,04/25/2017,"Rosemark Bakery, Inc.",Minneapolis District Office,"CGMP/Food/Prepared, Packed or Held Under Insanitary Conditions/Adulterated",Warning Letter
05/09/2017,04/28/2017,Vikshara Trading & Investments Ltd.,Center for Drug Evaluation and Research,CGMP/Finished Pharmaceuticals/Adulterated,Warning Letter
05/09/2017,05/03/2017,"Pharmaceutic Labs, LLC.",New York District Office,Compounding Pharmacy/Adulterated Drug Products,Warning Letter
05/09/2017,05/04/2017,Rainbow Gold Products Inc,New Orleans District Office,Unapproved New Drugs/Misbranded,Warning Letter
05/09/2017,08/31/2016,Vapor Renu,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/09/2017,09/01/2016,Vape A-Lot Shop,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/09/2017,09/01/2016,www.mystogie.com,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/09/2017,09/01/2016,Steven's Wholesale Vape Store,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/09/2017,09/01/2016,"Keys Technologies, Inc.",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/09/2017,09/01/2016,"True Vapes, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/09/2017,09/01/2016,PKB LLC,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/09/2017,09/01/2016,"Endless Empire, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/09/2017,09/02/2016,Tampa Humidor,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/09/2017,09/02/2016,"Vapor Vortex, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/08/2017,04/20/2017,Montana Emu Ranch Company Inc,Seattle District Office,Unapproved New Animal Drug/Adultered/Misbranded/Misleading,Warning Letter
05/08/2017,04/25/2017,"Northern Fish Products, Inc.",Seattle District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
05/07/2017,09/01/2016,"Bluemist, LLC",Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/07/2017,09/02/2016,Blak Ecig Inc,Center for Tobacco Products,Family Smoking Prevention and Tobacco Control Act/Adulterated/Misbranded,Warning Letter
05/02/2017,04/10/2017,Quality Fisheries dba The Niota Fish Market,Chicago District Office,Seafood HACCP/CGMP for Foods/Adulterated/Insanitary Conditions,Warning Letter
05/02/2017,04/20/2017,"Organ Recovery Systems, Inc.",Chicago District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
05/02/2017,04/20/2017,Sal Pharma,Center for Drug Evaluation and Research,CGMP/Active Pharmaceutical Ingredient (API)/Adulterated/Misbranded,Warning Letter
05/02/2017,04/20/2017,Naturecom Inc.,Los Angeles District Office,CGMP/Dietary Supplement/Adulterated/Misbranded,Warning Letter
05/02/2017,04/21/2017,Criticare Technologies Inc,New England District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
05/02/2017,04/25/2017,Unetixs Vascular Inc.,New England District Office,CGMP/QSR/Medical Devices/Adulterated,Warning Letter
04/25/2017,04/04/2017,American Specialty Pharmacy,Dallas District Office,Drug Product/Adulterated,Warning Letter
