Letter Issue Date,Company Name,Issuing Office,Regulated Product,Subject,Letter Type
1/9/2018,Hunan Norchem Pharmaceutical Co. Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
1/5/2018,"Coenzyme A, Inc. dba Coenzyme-A Technologies, Inc.",Seattle District Office,,,Warning Letter
1/3/2018,American CryoStem Corporation,Florida District Office,,,Warning Letter
1/1/2018,Yicheng Chemical Corp.,Center for Drug Evaluation and Research,,,Warning Letter
12/29/2017,PT. Nusantara Jaya Abadi,Center for Food Safety and Applied Nutrition,,,Warning Letter
12/29/2017,PT. GALAXY NUSA DUA,Center for Food Safety and Applied Nutrition,,,Warning Letter
12/29/2017,Transbuana International Express,Center for Food Safety and Applied Nutrition,,,Warning Letter
12/28/2017,Investra-24hs,Center for Drug Evaluation and Research,,,Warning Letter
12/21/2017,Centro Mas Salud Dr. Gualberto Rabell-Fernandez,Florida District Office,,,Warning Letter
12/21/2017,Optimum Bioenergy International Corp.,San Francisco District Office,,,Warning Letter
12/21/2017,Imprimis Pharmaceuticals,Center for Drug Evaluation and Research,,,Warning Letter
12/20/2017,Schrofner Cosmetics Gmbh,Center for Drug Evaluation and Research,,,Warning Letter
12/20/2017,"Continental Manufacturing Chemist, Inc.",Detroit District Office,,,Warning Letter
12/19/2017,Neilsen Seafood,Cincinnati District Office,,,Warning Letter
12/19/2017,Delta Laboratories Pty Ltd,Center for Drug Evaluation and Research,,,Warning Letter
12/19/2017,C. O. Truxton Inc.,New Jersey District Office,,,Warning Letter
12/19/2017,"Maine Natural Health, Inc.",New York District Office,,,Warning Letter
12/18/2017,"Wuhan Chinese Moxibustion Technology Dev. Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
12/18/2017,Deserving Health International Corp,Center for Drug Evaluation and Research,,,Warning Letter
12/17/2017,Fresenius Kabi Oncology Limited (Baddi),Center for Drug Evaluation and Research,,,Warning Letter
12/17/2017,Prosana Distribuciones SA de CV,Center for Drug Evaluation and Research,,,Warning Letter
12/15/2017,Gold Star Smoked Fish Corp.,New York District Office,,,Warning Letter
12/14/2017,"BrainAlert, LLC",Seattle District Office,,,Warning Letter
12/14/2017,Eden’s Answers Inc. and Sprigs Life Inc.,Cincinnati District Office,,,Warning Letter
12/13/2017,"Amaros Co., Ltd",Center for Drug Evaluation and Research,,,Warning Letter
12/13/2017,Dynamic Technical Formulations,Atlanta District Office,,,Warning Letter
12/13/2017,GnuPharma Corp.,Dallas District Office,,,Warning Letter
12/13/2017,AN Co. Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
12/13/2017,Buffalo Pharmacies Inc. dba Swan Prescription Center,New Jersey District Office,,,Warning Letter
12/11/2017,Arco Globus Trading LLC,Center for Drug Evaluation and Research,,,Warning Letter
12/8/2017,K & S Food Center LLC,New York District Office,,,Warning Letter
12/7/2017,"Health-Chem Diagnostics, LLC",Florida District Office,,,Warning Letter
12/5/2017,Hieber's Pharmacy,New Jersey District Office,,,Warning Letter
12/5/2017,"Aphena Pharma Solutions-Tennessee, LLC",Center for Drug Evaluation and Research,,,Warning Letter
12/5/2017,"Seindni Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
12/5/2017,"A.I.G Technologies, Inc.",Dallas District Office,,,Warning Letter
12/4/2017,"Shanwei Honghui Daily Appliance Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
12/4/2017,Fresenius Kabi Oncology Ltd,Center for Drug Evaluation and Research,,,Warning Letter
12/1/2017,"Bedessee Imports, Inc",New York District Office,,,Warning Letter
11/30/2017,Crosbys Drugs Inc,Detroit District Office,,,Warning Letter
11/30/2017,"Wellness Resources, Inc.",Minneapolis District Office,,,Warning Letter
11/29/2017,BBCOS srl,Center for Drug Evaluation and Research,,,Warning Letter
11/29/2017,TruVision Health LLC,Denver District Office,,,Warning Letter
11/28/2017,RC Outsourcing LLC,Detroit District Office,,,Warning Letter
11/28/2017,Fagron Compounding Services LLC dba Fagron Sterile Services,Detroit District Office,,,Warning Letter
11/21/2017,First Choice E Trading Corp.,New York District Office,Seafood/Seafood Product,,Warning Letter
11/20/2017,"Dae Young Foods Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
11/17/2017,"Hangzhou Facecare Cosmetics Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
11/17/2017,"Nova Distributors, LLC",Center for Tobacco Products,,,Warning Letter
11/16/2017,"Rushing Waters Fisheries, LLC",Minneapolis District Office,Seafood/Seafood Product,,Warning Letter
11/16/2017,U.L. Manufacturing Company Ltd.,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/16/2017,Naturefield Company Limited,Center for Food Safety and Applied Nutrition,,,Warning Letter
11/16/2017,Hand Biomechanics Lab Inc,Los Angeles District Office,,,Warning Letter
11/15/2017,Hilgenkamp Farm Inc,Kansas City District Office,,,Warning Letter
11/14/2017,Bayer Pharma AG,Center for Drug Evaluation and Research,,,Warning Letter
11/14/2017,TELEMED,Center for Devices and Radiological Health,,,Warning Letter
11/14/2017,Mannatech Incorporated,Dallas District Office,,,Warning Letter
11/14/2017,B & H Foods Inc,Atlanta District Office,,,Warning Letter
11/9/2017,TSDR Pharmacy Inc. dba brandMD Skin Care,Los Angeles District Office,,,Warning Letter
11/8/2017,Vita Pure Inc,Baltimore District Office,,,Warning Letter
11/8/2017,"RTI Surgical, Inc.",Florida District Office,,,Warning Letter
11/6/2017,Lupin Limited,Center for Drug Evaluation and Research,,,Warning Letter
11/6/2017,"Hubei Danao Pharmaceutical Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
11/3/2017,Guardian Pharmacy Services,Dallas District Office,,,Warning Letter
11/2/2017,"Create-A-Pack Foods, Inc.",Minneapolis District Office,,,Warning Letter
11/1/2017,"Guangzhou Baiyunshan Pharmaceutical Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
11/1/2017,Butts Dairy Farm,Chicago District Office,,,Warning Letter
10/31/2017,Natural Alchemist,Los Angeles District Office,,,Warning Letter
10/31/2017,"Stanley Brothers Social Enterprises, LLC",Los Angeles District Office,,,Warning Letter
10/31/2017,That's Natural,Los Angeles District Office,,,Warning Letter
10/31/2017,Green Roads of Florida LLC,San Juan District Office,,,Warning Letter
10/31/2017,Wise Spice Catering Company,San Juan District Office,,,Warning Letter
10/30/2017,Opternative Inc,Center for Devices and Radiological Health,,,Warning Letter
10/30/2017,Village Pharmacy,New Jersey District Office,,,Warning Letter
10/30/2017,"Guangdong Zhanjiang Jimin Pharmaceutical Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
10/27/2017,"RAM Pharma, Inc",Los Angeles District Office,,,Warning Letter
10/27/2017,Ihm Farms,Minneapolis District Office,,,Warning Letter
10/26/2017,"Bluegrass Proteins, Inc.",Minneapolis District Office,,,Warning Letter
10/25/2017,"ProSun International, LLC",Florida District Office,,,Warning Letter
10/25/2017,Finnerty Dairy,Chicago District Office,,,Warning Letter
10/24/2017,Dixon Fisheries Inc,Chicago District Office,,,Warning Letter
10/23/2017,Infantry Labs LLC,Detroit District Office,,,Warning Letter
10/23/2017,"Magellan Diagnostics, Inc.",New England District Office,,,Warning Letter
10/23/2017,Panther Sports Nutrition,New Jersey District Office,,,Warning Letter
10/22/2017,Ironmag Labs,Center for Drug Evaluation and Research,,,Warning Letter
10/20/2017,GPC Medical Ltd.,Center for Devices and Radiological Health,,,Warning Letter
10/20/2017,Aztex Enterprises Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
10/19/2017,Wicked Knight Vapor,Center for Tobacco Products,,,Warning Letter
10/18/2017,Accelerated Analytical Laboratories Inc.,Detroit District Office,,,Warning Letter
10/17/2017,"Town and Country Compounding and Consultation Services, LLC",New Jersey District Office,,,Warning Letter
10/17/2017,"Pelvic Therapies, Inc",Los Angeles District Office,,,Warning Letter
10/16/2017,Kim Chemicals Private Ltd.,Center for Drug Evaluation and Research,,,Warning Letter
10/16/2017,"Masa NY, LLC",New York District Office,,,Warning Letter
10/13/2017,Vape Supplies On Point,Center for Tobacco Products,,,Warning Letter
10/13/2017,Massive Vapor,Center for Tobacco Products,,,Warning Letter
10/13/2017,Ford on Fifth LLC,Center for Tobacco Products,,,Warning Letter
10/13/2017,Fallout Vapor Inc.,Center for Tobacco Products,,,Warning Letter
10/13/2017,Yum E-Nectar Premium Ejuice,Center for Tobacco Products,,,Warning Letter
10/13/2017,"Biomin Industries, Inc.",Denver District Office,,,Warning Letter
10/13/2017,Maximum Vapor LLC d/b/a MaxV,Center for Tobacco Products,,,Warning Letter
10/13/2017,"Ridge Properties, LLC",Los Angeles District Office,,,Warning Letter
10/12/2017,Colonia Care Pharmacy,New Jersey District Office,,,Warning Letter
10/12/2017,Performance Food Group Inc,Dallas District Office,,,Warning Letter
10/11/2017,Nathan's Soup & Salad Henrietta Inc.,New York District Office,,,Warning Letter
10/10/2017,Vital Laboratories Pvt Ltd Plant II,Center for Drug Evaluation and Research,,,Warning Letter
10/10/2017,"Sohail M. Khan, M.D.",Center for Drug Evaluation and Research,,,Warning Letter
10/10/2017,US Compounding Inc,Dallas District Office,,,Warning Letter
10/6/2017,Rhodes Food Group Ltd.,Center for Food Safety and Applied Nutrition,"HACCP, Juice",,Warning Letter
10/6/2017,"Nexagen, LLC",Atlanta District Office,,,Warning Letter
10/5/2017,Custer Dairy Processing Plant,Cincinnati District Office,"Dairy, Ice Cream/Frozen Dairy",,Warning Letter
10/5/2017,"Kelyniam Global, Inc.",New England District Office,,,Warning Letter
10/4/2017,Estiatorio Milos,New York District Office,,,Warning Letter
10/4/2017,Snyder's Lance Inc.,Atlanta District Office,,,Warning Letter
10/4/2017,"Vet Cellect Bio Products, LLC",New Jersey District Office,,,Warning Letter
10/3/2017,Talon Compounding Pharmacy,Dallas District Office,,,Warning Letter
9/29/2017,Nutritional Engineering Inc,San Francisco District Office,,,Warning Letter
9/29/2017,http://www.911vape4less.com,Center for Tobacco Products,,,Warning Letter
9/29/2017,Bush Brothers & Company,Cincinnati District Office,,,Warning Letter
9/28/2017,Tuna Paradise Co. Ltd.,Center for Food Safety and Applied Nutrition,,,Warning Letter
9/28/2017,Diasol Inc,New England District Office,,,Warning Letter
9/28/2017,Total Body Nutrition,New York District Office,,,Warning Letter
9/28/2017,University Of Michigan,Detroit District Office,,,Warning Letter
9/28/2017,Option Care,Detroit District Office,,,Warning Letter
9/26/2017,Douglas Chambers Dairy Inc.,Atlanta District Office,,,Warning Letter
9/26/2017,Ladd Family Pharmacy LLC,Los Angeles District Office,,,Warning Letter
9/25/2017,Diasol Inc.,Los Angeles District Office,,,Warning Letter
9/25/2017,Demetri's Coffee Service,Cincinnati District Office,,,Warning Letter
9/25/2017,UVLRX Therapeutics Inc,Center for Devices and Radiological Health,,,Warning Letter
9/25/2017,San Diego Compounding Pharmacy,Los Angeles District Office,,,Warning Letter
9/25/2017,http://www.ecigmates.co.uk,Center for Tobacco Products,,,Warning Letter
9/22/2017,"Dasan E&T Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
9/22/2017,"Nashoba Brook Bakery, LLC",New York District Office,,,Warning Letter
9/22/2017,Texas Plum Line,Dallas District Office,,,Warning Letter
9/20/2017,ELITech Group B.V.,Center for Devices and Radiological Health,,,Warning Letter
9/20/2017,Euro Diagnostica AB,Center for Devices and Radiological Health,,,Warning Letter
9/20/2017,Loop Pharmacy & Home Medical,New Jersey District Office,,,Warning Letter
9/19/2017,DRG Instruments GmbH,Center for Devices and Radiological Health,,,Warning Letter
9/19/2017,J & B Seafood Inc.,Cincinnati District Office,,,Warning Letter
9/19/2017,"HA Stores, Ltd",Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,Bulk2USA,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,247Med,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,American Pharmacy Group,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,MyRXCash,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,CanAmerica Global,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,Worldwide Drug Store,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,Rx-Partners,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,Pharmempire,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,PharmCash,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,Medicina Mexico,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,MediPK,Center for Drug Evaluation and Research,,,Warning Letter
9/19/2017,GlavMed,Center for Drug Evaluation and Research,,,Warning Letter
9/18/2017,Strohecker's Pharmacy,Los Angeles District Office,,,Warning Letter
9/18/2017,Compounded Solutions in Pharmacy,New England District Office,,,Warning Letter
9/15/2017,Alber GmbH,Center for Devices and Radiological Health,,,Warning Letter
9/15/2017,Grandma's Herbs,Denver District Office,,,Warning Letter
9/15/2017,Cracker King Corp.,New York District Office,,,Warning Letter
9/13/2017,"Cerreta Candy Company, Inc.",Division of Human and Animal Food Operations West IV,,,Warning Letter
9/13/2017,Quick Foods Co.,Chicago District Office,,,Warning Letter
9/12/2017,"Jiangmen Nowadays Daily Goods Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
9/12/2017,Baptist Health Medical Towers Pharmacy and Infusion Services,Dallas District Office,,,Warning Letter
9/12/2017,"Shandong Vianor Biotech Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
9/12/2017,First Pharma Associates LLC dba Riverpoint Pharmacy,Los Angeles District Office,,,Warning Letter
9/11/2017,Vicare International (USA) INC,Los Angeles District Office,,,Warning Letter
9/11/2017,"Magellan Rx Pharmacy, LLC",New Jersey District Office,,,Warning Letter
9/7/2017,"Pharmakon Compounding Pharmacy, Inc.",Detroit District Office,,,Warning Letter
9/7/2017,Newton Everett/WR Group Inc.,Denver District Office,,,Warning Letter
9/7/2017,Wuxi Medical lnstrument Factory,Center for Drug Evaluation and Research,,,Warning Letter
9/7/2017,"Homeocare Laboratories, Inc.",New Jersey District Office,,,Warning Letter
9/5/2017,"Meridian Medical Technologies, Inc. a Pfizer Company",Kansas City District Office,,,Warning Letter
9/5/2017,Dynavision International LLC,New England District Office,,,Warning Letter
9/1/2017,"Nd Labs, Inc.",New York District Office,,,Warning Letter
9/1/2017,Nova Homeopathic Therapeutics Inc,Los Angeles District Office,,,Warning Letter
8/31/2017,"Home Care Pharmacy of Palm Coast, Inc.",Dallas District Office,,,Warning Letter
8/31/2017,"Firson Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
8/30/2017,Bovina Dairy,Dallas District Office,,,Warning Letter
8/30/2017,"Taylor Farm, Inc.",New York District Office,,,Warning Letter
8/30/2017,"MusclMasster, LLC",Denver District Office,,,Warning Letter
8/30/2017,Jim Paskewitz Livestock,Minneapolis District Office,,,Warning Letter
8/29/2017,Louisville Reproductive Center,Los Angeles District Office,,,Warning Letter
8/29/2017,Burkmann Industries Inc.,Cincinnati District Office,,,Warning Letter
8/25/2017,Cermaq Chile S.A. No. 10195,Center for Food Safety and Applied Nutrition,,,Warning Letter
8/25/2017,Mega Pro International,Denver District Office,,,Warning Letter
8/24/2017,Northern Lights Vapor LLC,Center for Tobacco Products,,,Warning Letter
8/24/2017,"US Stem Cell Clinic, LLC",Florida District Office,,,Warning Letter
8/24/2017,"Nautical Foods, LLC",Baltimore District Office,,,Warning Letter
8/23/2017,1ViZN LLC,Division of Human and Animal Food Operations West IV,,,Warning Letter
8/23/2017,"Curasan AG, Frankfurt Facility",Center for Devices and Radiological Health,,,Warning Letter
8/23/2017,"PharmScript, LLC",New Jersey District Office,,,Warning Letter
8/23/2017,"Eagle Smoked Salmon, Inc.",Denver District Office,,,Warning Letter
8/22/2017,"Jajco, Inc. DBA Anchor Drugs Pharmacy",Los Angeles District Office,,,Warning Letter
8/21/2017,"Innovita, LLC",Denver District Office,,,Warning Letter
8/21/2017,"Preservation Solutions, Inc.",Florida District Office,,,Warning Letter
8/21/2017,"F. Rozzo & Sons, Inc.",New York District Office,,,Warning Letter
8/21/2017,Louie Foods International,San Francisco District Office,,,Warning Letter
8/20/2017,Carlton's Dunwoody Pharmacy Corp,Dallas District Office,,,Warning Letter
8/18/2017,"Threeline Imports, Inc.",New York District Office,,,Warning Letter
8/18/2017,"Kuni Vapes, LLC",Center for Tobacco Products,,,Warning Letter
8/18/2017,Trade N Vape,Center for Tobacco Products,,,Warning Letter
8/18/2017,Tulumba Marketing,Center for Tobacco Products,,,Warning Letter
8/18/2017,Vapor Galleria,Center for Tobacco Products,,,Warning Letter
8/17/2017,Big Chief Vapor Products LLC,Center for Tobacco Products,,,Warning Letter
8/17/2017,Electronic Puff,Center for Tobacco Products,,,Warning Letter
8/17/2017,Vaperz Electronic Cigarettes,Center for Tobacco Products,,,Warning Letter
8/17/2017,"Distribuidora La Jugosita, Inc.",San Juan District Office,,,Warning Letter
8/17/2017,Vape Gods LLC,Center for Tobacco Products,,,Warning Letter
8/17/2017,Intense Desire,Center for Tobacco Products,,,Warning Letter
8/17/2017,"Vapor Rising, Inc.",Center for Tobacco Products,,,Warning Letter
8/17/2017,V2 Cigs,Center for Tobacco Products,,,Warning Letter
8/16/2017,Cool Vape LLC,Center for Tobacco Products,,,Warning Letter
8/16/2017,Eliquid UK Store,Center for Tobacco Products,,,Warning Letter
8/16/2017,Krazie Vapes,Center for Tobacco Products,,,Warning Letter
8/16/2017,IP Eye Limited,Center for Tobacco Products,,,Warning Letter
8/16/2017,E-Juice Plug,Center for Tobacco Products,,,Warning Letter
8/16/2017,Sunshine Vape,Center for Tobacco Products,,,Warning Letter
8/16/2017,"Klassik Vape, Inc.",Center for Tobacco Products,,,Warning Letter
8/16/2017,Ecig.com,Center for Tobacco Products,,,Warning Letter
8/16/2017,Flyin' Weasel E-Juice,Center for Tobacco Products,,,Warning Letter
8/16/2017,Total Nutrition Inc,New York District Office,,,Warning Letter
8/15/2017,KBF INC,New York District Office,Seafood/Seafood Product,,Warning Letter
8/15/2017,"Years to Your Health, Inc.",Dallas District Office,,,Warning Letter
8/15/2017,Adrian Mortimer,Dallas District Office,,,Warning Letter
8/15/2017,Hetero Labs Limited Unit V,Center for Drug Evaluation and Research,,,Warning Letter
8/11/2017,Bicooya Cosmetics Limited,Center for Drug Evaluation and Research,,,Warning Letter
8/11/2017,Moon Valley Natural Products LLC,Seattle District Office,,,Warning Letter
8/10/2017,"MS Fruit & Vegetable Co., LLC",Cincinnati District Office,,,Warning Letter
8/10/2017,"C K Solutions, Inc.",Denver District Office,,,Warning Letter
8/10/2017,Skin 2 Spirit,Baltimore District Office,,,Warning Letter
8/9/2017,"Oregon Wild Berries, Inc.",Seattle District Office,,,Warning Letter
8/9/2017,"Pharmacy Plus, Inc. dba Vital Care Compounder",Dallas District Office,,,Warning Letter
8/8/2017,Wilbo S.A.,Center for Food Safety and Applied Nutrition,,,Warning Letter
8/7/2017,"Hello Life, Inc",Chicago District Office,,,Warning Letter
8/4/2017,"Laveeza (nmi) Bhatti, M.D.",Center for Drug Evaluation and Research,,,Warning Letter
8/4/2017,MB Industria Cirurgica Ltda,Center for Devices and Radiological Health,,,Warning Letter
8/3/2017,Ridley Block Operations Inc,Cincinnati District Office,,,Warning Letter
8/3/2017,King of Pops,Atlanta District Office,,,Warning Letter
8/3/2017,ImprimisRx Pharmacy LLC,New Jersey District Office,,,Warning Letter
8/2/2017,Cellex-C International Inc.,Center for Drug Evaluation and Research,,,Warning Letter
8/2/2017,Homeolab USA Inc.,Center for Drug Evaluation and Research,,,Warning Letter
8/2/2017,"Maplerose Enterprises, LLC, dba Pencol Pharmacy",Los Angeles District Office,,,Warning Letter
8/2/2017,Coleman Peanut Company,Baltimore District Office,,,Warning Letter
8/1/2017,"Foshan Flying Medical Products Co., Ltd.",Center for Drug Evaluation and Research,,,Warning Letter
8/1/2017,"Ballard Plaza Pharmacy I, Inc.",Los Angeles District Office,,,Warning Letter
8/1/2017,Armada Nutrition,Cincinnati District Office,,,Warning Letter
7/31/2017,"SyncThink, Inc.",Center for Devices and Radiological Health,,,Warning Letter
7/31/2017,Green Leaf,Center for Tobacco Products,,,Warning Letter
7/31/2017,Foggy Gorilla Vaping Company,Center for Tobacco Products,,,Warning Letter
7/31/2017,Freshvaping.com,Center for Tobacco Products,,,Warning Letter
7/31/2017,AspireCig LTD,Center for Tobacco Products,,,Warning Letter
7/31/2017,Vape Goddess LLC,Center for Tobacco Products,,,Warning Letter
7/31/2017,"Safe Way Ecig, Inc.",Center for Tobacco Products,,,Warning Letter
7/31/2017,Broke Dick Juice,Center for Tobacco Products,,,Warning Letter
7/28/2017,"Skin Sciences Laboratory, Inc.",Center for Drug Evaluation and Research,,,Warning Letter
7/28/2017,Vapor Alley,Center for Tobacco Products,,,Warning Letter
7/28/2017,EJuice.deals,Center for Tobacco Products,,,Warning Letter
7/28/2017,EzyPayway.com Limited,Center for Tobacco Products,,,Warning Letter
7/28/2017,Royal Smoke LLC,Center for Tobacco Products,,,Warning Letter
7/28/2017,Nuports Inc.,Center for Tobacco Products,,,Warning Letter
7/28/2017,Prodigy Vapor,Center for Tobacco Products,,,Warning Letter
7/26/2017,Madison One Acme Inc,Los Angeles District Office,,,Warning Letter
7/21/2017,Amafruits,Chicago District Office,,,Warning Letter
7/21/2017,"Medical Center Pharmacy, Inc.",Dallas District Office,,,Warning Letter
7/20/2017,"Derby Paradise, Inc.",New York District Office,Seafood/Seafood Product,,Warning Letter
7/20/2017,HOSPIMED,Center for Devices and Radiological Health,,,Warning Letter
7/20/2017,Option Care,New Jersey District Office,,,Warning Letter
7/20/2017,W & C dba The Apothecary,Detroit District Office,,,Warning Letter
7/19/2017,Be Natural Organics,Chicago District Office,,,Warning Letter
7/18/2017,Terra Biological LLC,Center for Food Safety and Applied Nutrition,,,Warning Letter
7/18/2017,"Pesca Fina, S.A.",Center for Food Safety and Applied Nutrition,,,Warning Letter
7/18/2017,Vedame Oils LLC dba UMA Oils,Los Angeles District Office,,,Warning Letter
7/17/2017,Sage Products Inc,Detroit District Office,,,Warning Letter
7/17/2017,"Algunas Inc., dba Woodland Hills Compounding Pharmacy",Los Angeles District Office,,,Warning Letter
7/16/2017,"R & R Holsteins, LLC (Dairy #3)",Seattle District Office,,,Warning Letter
7/14/2017,Whitestone Feeds LLC,Cincinnati District Office,,,Warning Letter
7/12/2017,"Diasol East, Inc.",Florida District Office,,,Warning Letter
7/12/2017,Sinosharp Import & Export Co Ltd,New York District Office,,,Warning Letter
7/12/2017,Whitehall/Div of Acorn Engineering Co,Los Angeles District Office,,,Warning Letter
7/11/2017,"Kretek International, Inc.",Center for Tobacco Products,,,Warning Letter
7/11/2017,"Black Seed Herb, Inc.",New York District Office,,,Warning Letter
7/11/2017,National Biological Corp,New England District Office,,,Warning Letter
7/6/2017,Haldiram Snacks Pvt. Ltd.,Center for Food Safety and Applied Nutrition,,,Warning Letter
7/6/2017,"Professional Botanicals, Inc.",Denver District Office,,,Warning Letter
7/6/2017,"APS BioGroup, Inc",Los Angeles District Office,,,Warning Letter
7/6/2017,Irie Star LLC,Kansas City District Office,,,Warning Letter
7/6/2017,Tubilux Pharma Spa,Center for Drug Evaluation and Research,,,Warning Letter
7/5/2017,"K & B Company, Inc",Denver District Office,,,Warning Letter
7/5/2017,Vista Pharmaceuticals Limited,Center for Drug Evaluation and Research,,,Warning Letter
6/30/2017,"Nature's Health Company, LLC",Cincinnati District Office,,,Warning Letter
6/29/2017,"Chilemar, Inc",San Francisco District Office,,,Warning Letter
6/29/2017,Vetoquinol N.-A.,Center for Veterinary Medicine,,,Warning Letter
6/29/2017,"ChemRite CoPac, Inc.",Detroit District Office,,,Warning Letter
6/28/2017,"Pensacola Apothecary, Inc. DBA Everwell Specialty Pharmacy",Dallas District Office,,,Warning Letter
6/28/2017,Jerald and Janine Stewart Farm,Kansas City District Office,,,Warning Letter
6/27/2017,"Smoked Seafood, Inc. dba Little Mermaid Smokehouse",Los Angeles District Office,,,Warning Letter
6/27/2017,"New Capstone, Inc",Los Angeles District Office,,,Warning Letter
6/22/2017,Shandong Analysis and Test Center,Center for Drug Evaluation and Research,,,Warning Letter
6/21/2017,Steiner Laboratories,Center for Devices and Radiological Health,,,Warning Letter
6/21/2017,Vapor Stix Inc,Center for Tobacco Products,,,Warning Letter
6/21/2017,Organic Vapor Labs,Center for Tobacco Products,,,Warning Letter
6/21/2017,Vapefluid.com,Center for Tobacco Products,,,Warning Letter
6/21/2017,http://www.chi-townvapers.com,Center for Tobacco Products,,,Warning Letter
6/21/2017,Vapin By The Beach,Center for Tobacco Products,,,Warning Letter
6/21/2017,"RTS LEASING, LLC",Center for Tobacco Products,,,Warning Letter
6/20/2017,Flavor Vapors,Center for Tobacco Products,,,Warning Letter
6/20/2017,Manns Fish Market,Kansas City District Office,,,Warning Letter
6/20/2017,http://www.my-ecigshop.com,Center for Tobacco Products,,,Warning Letter
6/20/2017,eVapor Shoppe,Center for Tobacco Products,,,Warning Letter
6/20/2017,OTR Vapes,Center for Tobacco Products,,,Warning Letter
6/19/2017,Goff Seafood,Cincinnati District Office,,,Warning Letter
6/15/2017,Soapwalla Inc.,Center for Food Safety and Applied Nutrition,,,Warning Letter
6/14/2017,Lopez Tortilla Foods Inc.,Dallas District Office,,,Warning Letter
6/8/2017,"Xcel Sports Nutrition, LLC",Dallas District Office,,,Warning Letter
6/8/2017,Belmora LLC,Baltimore District Office,,,Warning Letter
6/7/2017,"Pressure Safe, LLC",Seattle District Office,,,Warning Letter
6/5/2017,A-S Medication Solutions LLC.,Center for Drug Evaluation and Research,,,Warning Letter
6/5/2017,Hardcore Formulations,Dallas District Office,,,Warning Letter
6/5/2017,"Andropharm, LLC",Dallas District Office,,,Warning Letter
6/2/2017,Perfectly Posh,Denver District Office,,,Warning Letter
6/1/2017,Beacon Prescriptions,New Jersey District Office,,,Warning Letter
6/1/2017,Prestige Brands Holdings,Center for Drug Evaluation and Research,,,Warning Letter
6/1/2017,Eugene Airport,Seattle District Office,,,Warning Letter
5/31/2017,Summit Nutritionals International,New Jersey District Office,,,Warning Letter
5/26/2017,"Pacific Hospital Supply Co., Ltd.",Center for Devices and Radiological Health,,,Warning Letter
5/26/2017,Star Health & Beauty LLC,Atlanta District Office,,,Warning Letter
5/25/2017,"Empower Clinic Services, LLC",Dallas District Office,,,Warning Letter
5/25/2017,"Yusef Manufacturing Laboratories, LLC",Los Angeles District Office,,,Warning Letter
5/25/2017,Herbal Doctor Remedies,Los Angeles District Office,,,Warning Letter
5/25/2017,Life Rising Corporation,Chicago District Office,,,Warning Letter
5/25/2017,"The Herbalist, Inc.",Seattle District Office,,,Warning Letter
5/25/2017,"Big Dan's Fitness / Nutrition, LLC",Los Angeles District Office,,,Warning Letter
5/23/2017,A. I. Foods Corporation,Los Angeles District Office,,,Warning Letter
5/22/2017,Sewaren Innovative Pharmaceutical Packaging dba SIPP,New Jersey District Office,,,Warning Letter
5/19/2017,Tufos To Go LLC,Cincinnati District Office,,,Warning Letter
5/19/2017,"Etai's Food, Inc",Denver District Office,,,Warning Letter
5/17/2017,"Med-Pharmex, Inc.",Los Angeles District Office,,,Warning Letter
5/16/2017,"Ocubright Tear Stain Remover, Inc.",Florida District Office,,,Warning Letter
5/16/2017,"Morhaim Pharmalab, Inc.",Florida District Office,,,Warning Letter
5/12/2017,Dougherty's Pharmacy,Dallas District Office,,,Warning Letter
5/12/2017,VitaPurity Corporation,Seattle District Office,,,Warning Letter
5/12/2017,B. Braun Medical Inc,Los Angeles District Office,,,Warning Letter
5/12/2017,"Merit Pet Products, LLC",New England District Office,,,Warning Letter
5/11/2017,Changzhou Jintan Qianyao Pharmaceutical Raw Materials,Center for Drug Evaluation and Research,,,Warning Letter
